SeqID	weight	
>seqM1c_1	0.89
>seqM1c_2	0.99
>seqM1c_3	0.88
>seqM1c_4	0.92
>seqM1c_5	0.89
>seqM1c_6	0.98
>seqM1c_7	0.83
>seqM1c_8	0.84
>seqM1c_9	0.93
>seqM1c_10	0.85
>seqM1c_11	1
>seqM1c_12	0.97
>seqM1c_13	0.99
>seqM1c_14	0.87
>seqM1c_15	0.88
>seqM1c_16	0.99
>seqM1c_17	0.99
>seqM1c_18	1
>seqM1c_19	0.87
>seqM1c_20	0.88
>seqM1c_21	0.94
>seqM1c_22	0.98
>seqM1c_23	0.89
>seqM1c_24	0.94
>seqM1c_25	0.96
>seqM1c_26	1
>seqM1c_27	0.98
>seqM1c_28	1
>seqM1c_29	0.94
>seqM1c_30	0.97
>seqM1c_31	0.85
>seqM1c_32	0.91
>seqM1c_33	0.82
>seqM1c_34	0.97
>seqM1c_35	0.97
>seqM1c_36	0.88
>seqM1c_37	0.82
>seqM1c_38	0.97
>seqM1c_39	0.83
>seqM1c_40	0.84
>seqM1c_41	0.92
>seqM1c_42	0.87
>seqM1c_43	0.96
>seqM1c_44	0.84
>seqM1c_45	0.96
>seqM1c_46	0.81
>seqM1c_47	0.89
>seqM1c_48	0.94
>seqM1c_49	0.9
>seqM1c_50	0.87
>seqM1c_51	0.93
>seqM1c_52	0.82
>seqM1c_53	1
>seqM1c_54	0.8
>seqM1c_55	0.93
>seqM1c_56	0.95
>seqM1c_57	0.88
>seqM1c_58	0.88
>seqM1c_59	0.95
>seqM1c_60	0.83
>seqM1c_61	0.98
>seqM1c_62	1
>seqM1c_63	0.81
>seqM1c_64	0.8
>seqM1c_65	0.82
>seqM1c_66	0.89
>seqM1c_67	0.89
>seqM1c_68	0.99
>seqM1c_69	0.9
>seqM1c_70	0.85
>seqM1c_71	0.96
>seqM1c_72	0.98
>seqM1c_73	0.89
>seqM1c_74	1
>seqM1c_75	0.95
>seqM1c_76	0.85
>seqM1c_77	0.92
>seqM1c_78	0.84
>seqM1c_79	0.98
>seqM1c_80	0.97
>seqM1c_81	0.84
>seqM1c_82	0.87
>seqM1c_83	0.82
>seqM1c_84	0.92
>seqM1c_85	0.82
>seqM1c_86	0.88
>seqM1c_87	0.8
>seqM1c_88	1
>seqM1c_89	0.92
>seqM1c_90	1
>seqM1c_91	0.96
>seqM1c_92	0.96
>seqM1c_93	0.93
>seqM1c_94	0.91
>seqM1c_95	0.85
>seqM1c_96	0.97
>seqM1c_97	0.93
>seqM1c_98	0.94
>seqM1c_99	0.98
>seqM1c_100	0.97
>seqM3c_1	0.16
>seqM3c_2	0.17
>seqM3c_3	0.01
>seqM3c_4	0.12
>seqM3c_5	0.13
>seqM3c_6	0
>seqM3c_7	0
>seqM3c_8	0.18
>seqM3c_9	0.17
>seqM3c_10	0.06
>seqM3c_11	0.07
>seqM3c_12	0
>seqM3c_13	0.01
>seqM3c_14	0
>seqM3c_15	0.15
>seqM3c_16	0.03
>seqM3c_17	0.09
>seqM3c_18	0.07
>seqM3c_19	0.19
>seqM3c_20	0.17
>seqM3c_21	0.07
>seqM3c_22	0.11
>seqM3c_23	0.17
>seqM3c_24	0.15
>seqM3c_25	0.12
>seqM3c_26	0.09
>seqM3c_27	0.06
>seqM3c_28	0.08
>seqM3c_29	0.18
>seqM3c_30	0.15
>seqM3c_31	0.06
>seqM3c_32	0.16
>seqM3c_33	0.07
>seqM3c_34	0.09
>seqM3c_35	0.01
>seqM3c_36	0.06
>seqM3c_37	0.12
>seqM3c_38	0
>seqM3c_39	0.06
>seqM3c_40	0.14
>seqM3c_41	0.03
>seqM3c_42	0.06
>seqM3c_43	0.12
>seqM3c_44	0.04
>seqM3c_45	0.08
>seqM3c_46	0.04
>seqM3c_47	0.2
>seqM3c_48	0.04
>seqM3c_49	0.17
>seqM3c_50	0.12
>seqM3c_51	0.16
>seqM3c_52	0.2
>seqM3c_53	0.12
>seqM3c_54	0.04
>seqM3c_55	0.18
>seqM3c_56	0.1
>seqM3c_57	0.06
>seqM3c_58	0.04
>seqM3c_59	0.02
>seqM3c_60	0.05
>seqM3c_61	0.04
>seqM3c_62	0.04
>seqM3c_63	0.01
>seqM3c_64	0.02
>seqM3c_65	0
>seqM3c_66	0.01
>seqM3c_67	0.07
>seqM3c_68	0
>seqM3c_69	0.08
>seqM3c_70	0.02
>seqM3c_71	0.09
>seqM3c_72	0.16
>seqM3c_73	0.17
>seqM3c_74	0.14
>seqM3c_75	0.2
>seqM3c_76	0.04
>seqM3c_77	0
>seqM3c_78	0.16
>seqM3c_79	0.18
>seqM3c_80	0.09
>seqM3c_81	0
>seqM3c_82	0.17
>seqM3c_83	0.04
>seqM3c_84	0.05
>seqM3c_85	0.03
>seqM3c_86	0.15
>seqM3c_87	0.06
>seqM3c_88	0.06
>seqM3c_89	0.08
>seqM3c_90	0.12
>seqM3c_91	0.1
>seqM3c_92	0.14
>seqM3c_93	0.06
>seqM3c_94	0.11
>seqM3c_95	0.06
>seqM3c_96	0.15
>seqM3c_97	0.15
>seqM3c_98	0
>seqM3c_99	0.05
>seqM3c_100	0.1
